NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,
4309.0,M,11:50,5/15/2017,MANITOBA,LA,HERBERT,LMB,,041823,0,,,,243,840,13,36,32,,1970,10.50,5.48,759,8.58,
4310.0,M,12:01,5/15/2017,MANITOBA,LA,HERBERT,LMB,,041823,6,,,,584,825,7,88,21,1042,5350,27.47,15.67,789,8.58,
4311.0,M,13:05,5/15/2017,MANITOBA,LA,HERBERT,LMB,,038808,0,,,,246,702,8,27,24,,2140,11.66,6.65,1018,8.64,
4312.0,M,13:21,5/15/2017,MANITOBA,LA,HERBERT,LMB,,038808,5,,,,336,758,8,37,21,938,2880,17.84,9.83,1018,8.62,
4313.0,M,14:06,5/15/2017,MANITOBA,LA,HERBERT,LMB,,036796,0,,,,234,706,3,25,16,953,1990,7.26,3.57,972,8.64,
4314.0,M,06:09,5/16/2017,MANITOBA,LA,HERBERT,LMB,,099881,0,,,,181,723,16,18,31,877,1750,4.63,2.74,1004,8.61,
4315.0,M,07:15,5/16/2017,MANITOBA,LA,HERBERT,LMB,,116879,0,,,,210,659,1,17,8,1127,1760,4.61,2.59,933,8.60,
4316.0,M,07:49,5/16/2017,MANITOBA,LA,HERBERT,LMB,NAR,NAR1,0,,,,189,669,2,18,9,959,1800,5.05,2.91,936,8.60,
4317.0,M,11:30,5/16/2017,MANITOBA,LA,HERBERT,FFR,,FR1,0,,,,175,645,1,13,6,1048,1510,4.73,3.01,980,8.60,
4318.0,M,15:40,5/17/2017,MANITOBA,LA,HERBERT,LWH,DIT,DBW3,R1,,,,44,1096,8,7,23,1964,580,1.37,0.77,435,8.64,
4319.0,M,16:14,5/17/2017,MANITOBA,LA,HERBERT,LWH,,DBW4,,,,,41,1129,2,9,10,1848,650,1.41,0.68,547,8.67,
4320.0,M,16:35,5/17/2017,MANITOBA,LA,HERBERT,LWH,,DBW5,,,,,41,1077,1,7,10,,560,1.16,0.63,711,8.67,
4321.0,M,17:43,5/17/2017,MANITOBA,LA,HERBERT,WHR,,WHR1,,,,,111,687,5,15,21,,1310,3.05,1.74,839,8.55,
4322.0,M,15:40,5/17/2017,MANITOBA,LA,HERBERT,LWH,,DBW3,R2,,,,13,,,6,,,530,,,N/S,N/S,
4323.0,M,18:36,5/20/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,1,,,,,,20,,,,,
4324.0,M,18:36,5/20/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,21,,,,,,330,,,,,
4325.0,M,14:55,5/22/2017,MANITOBA,LA,HERBERT,BLK,,,0,,,,-1,,,,,,20,,,,,
4326.0,M,15:10,5/22/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,27,,,,,,250,,,,,
4327.0,M,16:52,5/23/2017,MANITOBA,LA,HERBERT,BLK,,,0,,,,-1,,,,,,20,,,,,
4328.0,M,16:54,5/23/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,9,,,,,,210,,,,,
4329.0,M,18:36,5/20/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,,,,2,,,,,,,,
4330.0,M,18:36,5/20/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,,,,3,,,,,,,,
4331.0,M,14:55,5/22/2017,MANITOBA,LA,HERBERT,BLK,,,0,,,,,,,3,,,,,,,,
4332.0,M,15:09,5/22/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,,,,2,,,,,,,,
4333.0,M,16:52,5/23/2017,MANITOBA,LA,HERBERT,BLK,,,0,,,,,,,-1,,,,,,,,
4334.0,M,16:54,5/23/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,,,,3,,,,,,,,
4335.0,M,08:41,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,220997,0,,,,125,527,-1,10,6,,1160,3.88,2.27,966,8.56,
4336.0,M,09:14,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,220997,6.6,,,,133,529,-1,11,4,996,1240,4.33,2.50,970,8.57,
4337.0,M,09:57,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,219008,0,,,,133,471,-1,10,10,1185,1230,3.71,2.17,881,8.53,
4338.0,M,10:08,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,219008,8,,,,110,513,-1,12,7,876,1140,4.05,2.46,888,8.55,
4339.0,M,14:35,5/18/2017,MANITOBA,LA,HERBERT,REDR,,RDR1,0,,,,163,569,1,27,17,975,1550,7.26,4.36,346,8.49,
4340.0,M,15:43,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,292085,0,,,,177,619,2,20,11,,1290,9.34,6.10,647,8.56,
4341.0,M,15:43,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,292085,8,,,,177,689,9,21,29,1134,1220,9.43,6.89,647,8.55,
4342.0,M,17:37,5/18/2017,MANITOBA,LA,HERBERT,OFR,,OFR1,0,,,,81,538,2,14,9,1277,1000,2.75,1.69,228,8.41,
4343.0,M,19:19,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,308102,0,,,,141,520,1,14,9,1187,1130,6.36,4.09,647,8.56,
4344.0,M,19:19,5/18/2017,MANITOBA,LA,HERBERT,LWPO,,308102,5,,,,130,659,4,14,19,1130,1100,5.31,2.79,687,8.56,
4345.0,M,09:38,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,284986,0,,,,91,513,-1,7,4,965,740,2.73,1.50,891,8.58,
4346.0,M,09:45,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,284986,8.5,,,,107,528,-1,7,4,1386,900,2.98,1.68,889,8.59,
4347.0,M,16:12,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,182986,0,,,,174,622,1,11,8,,1330,3.89,2.11,1052,8.58,
4348.0,M,16:23,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,182986,8,,,,151,660,3,13,15,,1350,4.79,2.49,1063,8.59,
