SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
1603EW0003,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,3/15/2016 7:45:00 AM,Y,A,381,,,,,,,,,,2.57,11.5,2.29,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,0.363,,593,,92,,,229,L0.6,7.91,913,,,,279,L0.34,,0.245,0.136,,0.381,,,,,,,1.56,,,,1.01,,,,,,63.1,51.4,,,,,,,,,,,,6.35,3.47,325,,,1.5,,,,,143,,,21.2,0.351,0.328,0.023,
1603KJ6041,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,3/21/2016 12:00:00 PM,Y,A,381,,,,,,,,,,6.28,,3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,733,,,,,7.93,443,,,,,,,0.327,,,0.765,,,,,,,2.5,,,,3.78,,,,,,46.4,27.8,,,,,,,,,,,,5.88,4.6,,,,1.4,,,,,,,,,0.722,0.721,L0.014,
1603KJ6056,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,3/31/2016 3:05:00 PM,Y,A,381,,,,,,,,,,3.41,,L6,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241,,,,360,,,,,8.22,573,,,,,,,0.177,,,0.439,,,,,,,1.77,,,,1.64,,,,,,55,35.4,,,,,,,,,,,,5.35,4.63,,,,1.4,,,,,,,,,0.372,0.388,L0.014,
1604EW0003,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,4/5/2016 8:20:00 AM,Y,A,381,,,,,,,,,,2.94,12.5,2.54,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.273,,406,,306,,,185,L0.6,8.06,604,,,,225,L0.34,,0.131,0.28,,0.411,,,,,,,1.85,,,,1.09,,,,,,61.9,44.1,,,,,,,,,,,,11,5.11,307,,,1.5,,,,,109,,,35.5,0.342,0.3,0.042,
1605KJ0016,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,5/9/2016 8:40:00 AM,Y,A,381,,,,,,,,,,1.73,9,1.86,,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,0.178,,489,,258,,,218,L0.6,8.21,764,,,,266,L0.34,,0.075,0.217,,0.292,,,,,,,1.32,,,,0.406,,,,,,56.8,44.6,,,,,,,,,,,,9.69,4.81,371,,,1.5,,,,,154,,,28.1,0.273,0.207,0.066,
1606KJ0016,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,6/1/2016 9:30:00 AM,Y,A,381,,,,,,,,,,3.98,7.47,1.87,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,0.09,,493,,688,,,173,L0.6,7.87,714,,,,211,L0.34,,0.167,0.433,,0.6,,,,,,,1.8,,,,2.18,,,,,,48.4,37.4,,,,,,,,,,,,16.4,5.5,361,,,1.5,,,,,147,,,24.9,0.48,0.477,L0.014,
1607KJ0044,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,7/4/2016 9:00:00 AM,Y,A,381,,,,,,,,,,2.27,6.7,2,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,0.078,,575,,223,,,209,L0.6,8.15,832,,,,254,L0.34,,0.167,0.218,,0.385,,,,,,,1.81,,,,0.459,,,,,,67.4,52.2,,,,,,,,,,,,13.4,8.29,404,,,1.4,,,,,176,,,49.5,0.377,0.295,0.082,
1608DR0016,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,8/2/2016 8:20:00 AM,Y,A,381,,,,1.49,,,,,,1.99,6.2,4.4,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0.03,,577,,158,,,214,L0.6,8.17,861,,,,261,L0.34,,0.207,0.219,,0.426,,,,,,,,,,,0.493,,,,,,55.1,46,,,,,,,,,,,,20.5,9.13,402,,,1.5,,,,,188,,,48.1,0.382,0.332,0.05,
1609DR0016,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,9/6/2016 8:00:00 AM,Y,A,381,,,,1.42,,,,,,1.73,8.7,1.5,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,0.064,,650,,93.8,,,256,5.16,8.45,912,,,,302,L0.34,,0.163,0.146,,0.309,,,,,,,,,,,0.309,,,,,,62.8,53,,,,,,,,,,,,15.6,7.48,393,,,1.5,,,,,211,,,30.6,0.269,0.177,0.092,
1610DR0044,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,10/3/2016 8:00:00 AM,Y,A,381,,,,1.15,,,,,,1.66,10,1.9,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,0.151,,659,,90,,,224,L0.6,8.29,965,,,,273,L0.34,,0.191,0.127,,0.318,,,,,,,,,,,0.511,,,,,,55.5,45.5,,,,,,,,,,,,4.9,3.83,419,,,1.4,,,,,225,,,35.6,0.287,0.272,0.015,
1611DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,11/1/2016 11:10:00 AM,Y,A,381,,,,1.79,,,,,,2.24,10.8,2,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7,0.05,,632,,81,,,256,L0.6,8.27,889,,,,312,L0.34,,0.197,0.108,,0.305,,,,,,,,,,,0.454,,,,,,65.7,52.6,,,,,,,,,,,,6.11,2.71,396,,,1.5,,,,,222,,,27.6,0.277,0.283,L0.014,
1612DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,12/5/2016 9:20:00 AM,Y,A,381,,,,1.11,,,,,,1.85,12.4,L6,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,0.273,,677,,95,,,268,5.4,8.37,960,,,,316,L0.34,,0.157,0.134,,0.291,,,,,,,,,,,0.743,,,,,,75,57.1,,,,,,,,,,,,9.36,3.43,423,,,1.5,,,,,226,,,26,0.248,0.102,0.146,
1701DR0006,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,1/9/2017 10:30:00 AM,Y,A,381,,,,1.42,,,,,,2.24,11.8,2.1,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,0.52,,787,,64,,,314,L0.6,8.07,1120,,,,383,L0.34,,0.134,0.05,0.128,0.184,,,,,,,,,,,0.825,,,,,,78.8,66.5,,,,,,,,,,,,1.91,1.7,521,,,1.4,,,,,289,,,20.6,0.176,,0.048,
1702DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,2/9/2017 8:20:00 AM,Y,A,381,,,,1.69,,,,,,2.33,8.4,1.5,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,0.54,,704,,41,,,311,L0.6,7.97,1030,,,,379,L0.34,,0.134,0.043,,0.177,,,,,,,,,,,0.645,,,,,,70.5,59.4,,,,,,,,,,,,0.76,0.71,475,,,1.4,,,,,219,,,16.6,0.161,0.152,L0.014,
1704DRF106,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,4/3/2017 11:40:00 AM,Y,A,381,,,,1.86,,,,,,2.74,,3.7,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,,,360,,,,,7.91,394,,,,,,,0.323,,,0.735,,,,,,,,,,,0.877,,,,,,45.3,25.7,,,,,,,,,,,,3.56,L2.8,,,,1.6,,,,,,,,,0.728,0.69,0.038,
1704DRF115,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,4/5/2017 10:20:00 AM,Y,A,381,,,,1.87,,,,,,2.76,,3.5,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,348,,,,,7.91,394,,,,,,,0.317,,,0.695,,,,,,,,,,,0.883,,,,,,41.2,29.2,,,,,,,,,,,,L4.2,L4.2,,,,1.5,,,,,,,,,0.66,0.63,0.03,
1704DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,4/11/2017 8:30:00 AM,Y,A,381,,,,1.56,,,,,,2.39,8.9,2.4,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.133,,361,,387,,,157,L0.6,7.98,516,,,,191,L0.34,,0.215,0.324,,0.539,,,,,,,,,,,0.831,,,,,,46.1,33.2,,,,,,,,,,,,2.67,L2.1,265,,,1.6,,,,,95.1,,,35,0.511,0.494,0.017,
1704DRF152,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,4/20/2017 1:05:00 PM,Y,A,381,,,,1.37,,,,,,1.78,,1.9,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,372,,,,,8.11,690,,,,,,,0.136,,,0.413,,,,,,,,,,,0.408,,,,,,58.6,42.6,,,,,,,,,,,,10.7,L4.2,,,,1.6,,,,,,,,,0.391,0.217,0.174,
1705DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,5/3/2017 8:15:00 AM,Y,A,381,,,,1.81,,,,,,2.33,10.1,2.6,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,0.155,,614,,364,,,237,L0.6,8.22,920,,,,290,L0.34,,0.111,0.256,,0.367,,,,,,,,,,,0.521,,,,,,61.3,46.5,,,,,,,,,,,,7.35,2.94,444,,,1.5,,,,,221,,,33.6,0.349,0.222,0.127,
1706DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,6/6/2017 8:30:00 AM,Y,A,381,,,,1.25,,,,,,1.45,8.9,1.2,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.134,,681,,48,,,279,8.76,8.46,957,,,,322,L0.34,,0.115,0.063,,0.178,,,,,,,,,,,0.204,,,,,,62.3,55.1,,,,,,,,,,,,16.4,6.31,427,,,1.5,,,,,225,,,22.2,0.16,0.142,0.018,
1707DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,7/12/2017 8:45:00 AM,Y,A,381,,,,1.46,,,,,,2.28,7.2,2.4,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,0.207,,739,,43,,,226,3.12,8.32,961,,,,269,L0.34,,0.155,0.081,,0.236,,,,,,,,,,,0.827,,,,,,53.1,44,,,,,,,,,,,,11,5.81,465,,,1.5,,,,,278,,,28.3,0.216,0.199,0.017,
1708DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,8/10/2017 8:30:00 AM,Y,A,381,,,,1.44,,,,,,1.9,6.8,3.31,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,0.26,,756,,41,,,258,8.88,8.44,1020,,,,297,L0.34,,0.106,0.107,,0.213,,,,,,,,,,,0.458,,,,,,60.9,52.2,,,,,,,,,,,,15.5,26.8,448,,,1.3,,,,,285,,,20.5,0.179,0.146,0.033,
1709DR0007,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,9/19/2017 10:50:00 AM,Y,A,381,,,,1.96,,,,,,2.79,8.4,4.26,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.62,,645,,34,,,232,L0.6,8.18,937,,,,283,L0.34,,0.236,0.07,,0.306,,,,,,,,,,,0.836,,,,,,51.6,47.8,,,,,,,,,,,,8.02,10.9,347,,,1.3,,,,,207,,,19.5,0.289,0.296,L0.014,
1710DR0005,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,10/10/2017 1:55:00 PM,Y,A,381,,,,1.37,,,,,,1.72,10.4,1.2,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,0.351,,622,,44,,,236,L0.6,8.27,874,,,,288,L0.34,,0.183,0.081,,0.264,,,,,,,,,,,0.348,,,,,,57.9,47.6,,,,,,,,,,,,13,7.08,370,,,1.5,,,,,222,,,31.9,0.247,0.238,L0.014,
1711DR0004,MB05OJS074,RED RIVER,RED RIVER AT SELKIRK BRIDGE,50.1411,-96.86861,0.0,2.0,11/7/2017 2:10:00 PM,Y,A,381,,,,1.88,,,,,,2.47,12.1,2.1,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.75,,916,,34,,,276,L0.6,8.27,1200,,,,337,L0.34,,0.221,0.074,,0.295,,,,,,,,,,,0.597,,,,,,62.8,54.5,,,,,,,,,,,,15.5,4.89,557,,,1.5,,,,,383,,,24.3,0.279,0.235,0.044,
0105NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,5/29/2001 2:35:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,11.6,,,,0.03,8,,,0.05,,0.8,,0.041,0.007,0.005,,0.005,,23,12,11,,1,,,,,101,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106NA9010,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,6/27/2001 3:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,7.8,,,,0.03,10,,,0.03,,0.7,,0.039,0.015,0.021,,0.001,,22,11,11,,7,,,,,102,,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0107NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,7/10/2001 1:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,8.6,,,,0.02,11,,,0.04,,5.2,,0.035,0.009,0.025,,0.002,,23,11,,,L1,,,,,103,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,7/22/2001 1:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,5.4,,,,0.05,14,,,0.08,,1,,0.048,0.016,0.034,,L0.001,,23,11,,,3,,,,,100,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108NA9300,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,8/7/2001 12:15:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,6,,,,L0.01,14,,,0.07,,1.1,,0.049,0.016,0.031,,0.004,,25,11,,,6,,,,,104,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108NA9010,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,8/21/2001 2:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,L0.02,,,,6,,,,0.04,10,,,0.02,,2.9,,0.042,,0.024,,0.006,,23,11,,,1,,,,,100,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109NA9010,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,9/18/2001 1:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,6.7,,,,0.06,10,,,0.02,,0.5,,0.033,0.008,0.02,,0.004,,23,11,,,L1,,,,,102,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110NA9010,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,10/17/2001,N,A,381,,,,,,,,,,,,,,,,,,,,3.9,,,,0.02,8,,,0.11,,0.2,,0.038,0.014,0.026,,L0.001,,24,11,,,2,,,,,96,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,11/16/2001 11:15:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,3.1,,,,L0.01,5,,,0.17,,L0.2,,0.038,0.024,0.028,,0.002,,21,10,,,L1,,,,,103,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111NA9050,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,11/16/2001 11:30:00 AM,Y,A,381,,,,,,,,,,,,,,,,,,,,3.3,,,,L0.01,4,,,0.17,,0.2,,0.038,0.022,0.028,,0.002,,21,10,,,L1,,,,,102,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0201NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,1/17/2002,N,A,381,,,,,,,,,,,,,,,,,,,,1.3,,,,0.04,1,,,0.25,,0.3,,0.034,0.023,0.025,,0.004,,22,11,12,,L1,,,,,96,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0202NA9006,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,2/13/2002 3:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,1,,,,0.02,1,,,0.23,,0.4,,0.033,0.024,0.024,,0.002,,21,11,11,,L1,,,,,101,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,4/8/2002 4:00:00 PM,Y,A,381,,,,,,,,,,,,,,,L0.005,,,,,2.3,,,,,1,,,0.24,,0.4,,0.032,0.021,0.019,0.011,0.004,,22,11,11,,L1,,,,,103,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0203NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,5/7/2002 10:00:00 AM,Y,A,381,,,,,,,,,,,,,,,L0.005,,,,,13.8,,,,,3,,,0.01,,0.5,,0.033,0.014,0.015,0.019,0.014,,22,11,11,,L1,,,,,,,7.88,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,5/27/2002 4:30:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,7.6,,,,L0.01,12,,,L0.01,,0.4,,0.007,0.002,0.003,0.005,L0.001,,23,11,11,,4,,,,,,,8.59,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207NA9006,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,7/3/2002 3:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,8.8,,,,L0.01,12,,,L0.01,,L0.2,,0.039,0.031,0.014,0.008,0.016,,22,10,12,,L1,,,,,,,7.87,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0205NA9002,MB05PFS069,WINNIPEG RIVER,WINNIPEG RIVER AT POWERVIEW DAM - DIPSAMPLE FROM FOREBAY,50.56766,-96.17697,0.0,2.0,7/24/2002 1:00:00 PM,Y,A,381,,,,,,,,,,,,,,,,,,,,4,,,,0.05,9,,,L0.01,,L0.2,,0.046,0.013,0.026,0.033,0.006,,21,9.9,11,,2,,,,,,,7.76,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
