NUMBER,ANAL,SAMPLED,SAMPLET,TYPE,DESCRIP,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF_CHL,HPLC_CHLA,COND,PH,Comments for DOC,Project name
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,,DEPTH
4751.0,M,9/27/2017,09:48,LA,MANITOBA,HERBERT,LMB,,041823,0,,,,388,N/S,N/S,50,N/S,,3850,24.91,18.68,N/S,N/S,,DEPTH
4752.0,M,10/2/2017,10:52,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,,DEPTH
4753.0,M,10/2/2017,10:53,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,13,,,,,,180,,,,,,DEPTH
4754.0,M,10/2/2017,10:55,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4755.0,M,10/3/2017,10:34,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,,DEPTH
4756.0,M,10/3/2017,10:36,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,190,,,,,,DEPTH
4757.0,M,10/3/2017,10:37,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,,DEPTH
4758.0,M,10/2/2017,09:30,LA,MANITOBA,HERBERT,LMB,,LKS009,,,,,297,680,25,17,29,1297,3340,9.30,6.48,982,8.62,,DEPTH
4759.0,M,10/2/2017,15:10,LA,MANITOBA,HERBERT,WHR,,LHS002,,,,,156,565,16,13,19,1122,1610,4.21,2.80,956,8.57,,DEPTH
4760.0,M,10/3/2017,10:15,LA,MANITOBA,HERBERT,WDR,,LES015,,,,,106,467,25,21,29,1065,980,3.03,2.01,547,8.60,,DEPTH
4761.0,M,10/3/2017,11:00,LA,MANITOBA,HERBERT,SWR,,LES011,,,,,70,387,19,12,27,1048,700,1.50,0.90,801,8.67,,DEPTH
4762.0,M,10/3/2017,12:05,LA,MANITOBA,HERBERT,NDR,,LGS001,,,,,58,344,17,12,17,930,700,1.51,0.93,566,8.68,,DEPTH
4763.0,M,10/3/2017,13:15,LA,MANITOBA,HERBERT,MOR,,LJS006,,,,,201,484,12,31,29,,1840,9.12,6.39,508,8.58,,DEPTH
4764.0,M,10/4/2017,14:30,LA,MANITOBA,HERBERT,WMR,,LLS001,,,,,144,655,23,22,34,1131,1270,9.31,5.29,853,8.67,,DEPTH
4765.0,M,10/7/2017,17:18,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,180,,,,,,DEPTH
4766.0,M,10/7/2017,17:20,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,10,,,,,,DEPTH
4767.0,M,10/7/2017,17:22,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,,DEPTH
4768.0,M,10/23/2017,08:30,EX,BAYSYS,KAMULA,,,LGS,,58,4,,73,418,,23,28,,840,3.67,2.76,289,8.44,,DEPTH
4769.0,M,10/5/2017,11:00,LA,MANITOBA,HERBERT,LWPO,,LWPO_M,,,,,258,632,113,27,120,1130,2920,9.00,6.17,979,8.57,,DEPTH
4770.0,M,10/5/2017,15:10,LA,MANITOBA,HERBERT,LWH,,LWH_M,,,,,144,611,29,14,34,1268,1610,2.66,1.70,948,8.58,,DEPTH
4771.0,M,10/12/2017,10:40,LA,MANITOBA,HERBERT,WHR,,WHR1,,,,,132,614,7,15,13,1146,1560,3.50,2.24,977,8.58,,DEPTH
4772.0,M,10/12/2017,08:00,LA,MANITOBA,HERBERT,LMB,,060864,,,,,235,643,3,21,6,1191,2680,3.78,2.28,959,8.58,,DEPTH
4773.0,M,10/17/2017,13:30,LA,MANITOBA,HERBERT,LWH,,LWH_M,,,,,146,605,9,12,14,1215,1490,2.85,1.82,959,8.58,,DEPTH
4774.0,M,10/19/2017,10:00,LA,MANITOBA,HERBERT,LWPO,,LWPO_M,,,,,271,622,9,32,16,1087,3490,10.14,6.66,1003,8.58,,DEPTH
4775.0,M,10/27/2017,10:34,LA,MANITOBA,HERBERT,BLK,,C&N&P,0,,,,-1,,,-1,,,10,,,,,,DEPTH
4776.0,M,10/27/2017,10:36,LA,MANITOBA,HERBERT,BLK,,C&N&P,100,,,,5,,,2,,,190,,,,,,DEPTH
4777.0,M,12/14/2017,08:00,EX,BAYSYS,KAMULA,,,LGS,,39,8,,84,415,,27,24,,1070,1.83,1.19,325,8.34,,DEPTH
4778.0,M,1/12/2018,11:22,EX,DISTILLED,HERBERT,REP1,,TAP486,,,,,8,6,,1,7,,130,,,,,,DEPTH
4779.0,M,1/12/2018,11:22,EX,DISTILLED,HERBERT,REP1,,TAP486,,,,,12,6,,2,8,,90,,,,,,DEPTH
4780.0,M,1/12/2018,11:25,EX,DISTILLED,HERBERT,REP2,,TAP486,,,,,7,6,,2,8,,80,,,,,,DEPTH
4781.0,M,1/12/2018,11:25,EX,DISTILLED,HERBERT,REP2,,TAP486,,,,,8,6,,1,7,,90,,,,,,DEPTH
4782.0,M,1/12/2018,11:26,EX,DISTILLED,HERBERT,REP3,,TAP486,,,,,8,7,,1,6,,110,,,,,,DEPTH
